scenario,seed,strategy,window,implementation_shortfall_bps,implementation_shortfall,total_execution_cost,total_impact_cost,total_transaction_fees,terminal_penalty,fill_rate,vwap_slippage_bps,average_execution_price,arrival_price,vwap_market_price,executed_inventory,remaining_inventory,window_start
liquidity_shock,123,TWAP,0,71.55734218033339,9334.648527281553,9338.944038174068,227.660556356273,4.29551089251478,0.0,1.0,12.722405267073636,152.93101760023958,151.8444590090895,152.73669978086284,8591.021785029558,0.0,2100
liquidity_shock,123,TWAP,1,-23.510153261194525,-3582.9152821958296,-3577.932171696518,235.26407075643792,4.98311049931175,0.0,1.0,14.436663648906428,152.55566196724692,152.9151678705066,152.33573998326236,9966.2209986235,0.0,2130
liquidity_shock,123,TWAP,2,-1.7111062979537026,-281.94809617773404,-276.5162579592114,224.41074552343696,5.431838218522687,0.0,1.0,14.166001155815898,151.6495185046847,151.67547179018723,151.4349956723122,10863.676437045375,0.0,2160
liquidity_shock,123,TWAP,3,-20.887002290697872,-3627.997073629981,-3622.2349138795253,250.9820214978905,5.762159750455882,0.0,1.0,14.511316906116088,150.40679737494793,150.7216096355194,150.18885356995594,11524.319500911764,0.0,2190
liquidity_shock,123,TWAP,4,-16.559462038876298,-3015.972396589445,-3009.9060527831816,284.97123210516435,6.066343806263572,0.0,1.0,9.851403450539843,149.86642873566993,150.11501111847812,149.71893457280376,12132.687612527143,0.0,2220
liquidity_shock,123,TWAP,5,28.466314846407947,4915.0720061969805,4920.846246347939,121.44655808985478,5.774240150958697,0.0,1.0,12.579169139322818,149.9368278197627,149.51122446090508,149.74845670324044,11548.480301917394,0.0,2250
liquidity_shock,123,TWAP,6,36.453624827179084,5727.285984518828,5732.536209079578,122.5749920679006,5.25022456075059,0.0,1.0,10.430903514225692,150.1690928388206,149.62366036081437,150.01261612634755,10500.449121501179,0.0,2280
liquidity_shock,123,TWAP,7,23.775792114494454,4444.114081834245,4450.329471401363,96.51350721324853,6.215389567118068,0.0,1.0,10.820038399302538,150.7242730491272,150.36676415657558,150.561365073972,12430.779134236136,0.0,2310
liquidity_shock,123,TWAP,8,26.681666594813883,5447.836529120489,5454.617311149055,114.63874225846111,6.780782028566138,0.0,1.0,10.99061411166337,150.9588440419163,150.55713252057777,150.7931131501833,13561.564057132277,0.0,2340
liquidity_shock,123,TWAP,9,22.428066711291418,4582.699011143445,4589.45880953779,273.82578580770155,6.7597983943452675,0.0,1.0,12.70244128396332,151.47421251497065,151.13524537839325,151.28204738255118,13519.596788690535,0.0,2370
liquidity_shock,123,TWAP,10,15.416189985177631,3484.2686594440993,3491.80247715992,332.90683910958194,7.53381771582036,0.0,1.0,14.732439122500203,150.2306264006951,149.99938449978424,150.00962563295244,15067.63543164072,0.0,2400
liquidity_shock,123,TWAP,11,-0.5931007768095728,-109.79664466880288,-103.63115445721377,74.8102745161358,6.1654902115891215,0.0,1.0,15.148789603692853,150.11953433507904,150.1284384644265,149.8924653929374,12330.980423178242,0.0,2430
